E1,E2,E3,E4,E5,E6
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
4017.0,4010.0,4021.0,4095.0,1291.0,3605.0
4017.0,4011.0,4021.0,4095.0,1291.0,3605.0
4017.0,4011.0,4018.0,4095.0,1291.0,3605.0
4010.0,3999.0,4023.0,4095.0,1285.0,2807.0
4010.0,4016.0,4023.0,4095.0,1285.0,2807.0
4006.0,4016.0,4017.0,4095.0,1274.0,2542.0
4006.0,4016.0,4017.0,4095.0,1274.0,2542.0
4014.0,4002.0,4017.0,4095.0,1274.0,2542.0
4014.0,4002.0,4022.0,4095.0,1275.0,2341.0
4019.0,4018.0,4022.0,4095.0,1275.0,2341.0
4019.0,4018.0,4039.0,4095.0,1275.0,2187.0
4019.0,4018.0,4039.0,4095.0,1275.0,2187.0
4019.0,4018.0,4039.0,4095.0,1275.0,2187.0
4030.0,4022.0,4051.0,4095.0,1275.0,2000.0
4002.0,4012.0,4014.0,4095.0,1270.0,2000.0
4002.0,4012.0,4014.0,4095.0,1270.0,1862.0
3998.0,3984.0,4016.0,4095.0,1287.0,1777.0
3998.0,3984.0,4016.0,4095.0,1287.0,1777.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3987.0,4005.0,4014.0,4095.0,1281.0,1719.0
4038.0,3976.0,4010.0,4095.0,1277.0,1531.0
4007.0,3997.0,4011.0,4095.0,1277.0,1531.0
4007.0,3997.0,4011.0,4095.0,1286.0,1408.0
4007.0,3997.0,4011.0,4095.0,1286.0,1408.0
3983.0,4001.0,4011.0,4095.0,1286.0,1408.0
3983.0,4001.0,4018.0,4095.0,1273.0,865.0
4058.0,4001.0,4018.0,4095.0,1273.0,865.0
4058.0,3984.0,4021.0,4095.0,1266.0,587.0
4058.0,3984.0,4021.0,4095.0,1266.0,587.0
4058.0,3984.0,4021.0,4095.0,1266.0,587.0
4058.0,3984.0,4021.0,4095.0,1266.0,587.0
4016.0,3984.0,3984.0,4095.0,1290.0,815.0
4016.0,3984.0,3984.0,4095.0,1290.0,1008.0
4016.0,3984.0,3984.0,4095.0,1290.0,1008.0
4000.0,3998.0,3984.0,4095.0,1290.0,1008.0
4000.0,3998.0,4032.0,4095.0,1295.0,1077.0
4027.0,3999.0,4032.0,4095.0,1295.0,1077.0
4027.0,3999.0,4035.0,4095.0,1291.0,1041.0
4011.0,3995.0,4020.0,4095.0,1297.0,1041.0
4011.0,3995.0,4020.0,4095.0,1297.0,960.0
4007.0,4005.0,4059.0,4095.0,1282.0,915.0
4007.0,4005.0,4059.0,4095.0,1282.0,915.0
4007.0,4005.0,4059.0,4095.0,1282.0,915.0
4031.0,4011.0,4048.0,4095.0,1296.0,896.0
4033.0,4006.0,4048.0,4095.0,1296.0,896.0
4033.0,4006.0,4042.0,4095.0,1295.0,816.0
4011.0,4006.0,4042.0,4095.0,1295.0,816.0
4011.0,3981.0,4014.0,4095.0,1295.0,816.0
4011.0,3981.0,4014.0,4095.0,1291.0,846.0
4016.0,4015.0,4014.0,4095.0,1291.0,846.0
4016.0,4015.0,2859.0,4095.0,1302.0,821.0
4003.0,4015.0,2859.0,4095.0,1302.0,821.0
4003.0,3993.0,2736.0,4095.0,1296.0,771.0
4003.0,3993.0,2736.0,4095.0,1296.0,771.0
4003.0,3993.0,2736.0,4095.0,1296.0,771.0
4003.0,3997.0,4013.0,4095.0,1287.0,731.0
4006.0,4013.0,4007.0,4095.0,1299.0,749.0
4006.0,4003.0,4007.0,4095.0,1299.0,749.0
4006.0,4003.0,4021.0,4095.0,1303.0,785.0
4006.0,4003.0,4021.0,4095.0,1303.0,785.0
4006.0,4003.0,4021.0,4095.0,1303.0,785.0
4042.0,3965.0,3999.0,4095.0,1296.0,848.0
4024.0,3989.0,4013.0,4095.0,1306.0,848.0
4024.0,3989.0,4013.0,4095.0,1306.0,955.0
4016.0,3987.0,4013.0,4095.0,1296.0,1072.0
4016.0,3987.0,4013.0,4095.0,1296.0,1072.0
4016.0,3987.0,4013.0,4095.0,1296.0,1072.0
3995.0,4003.0,3994.0,4095.0,1303.0,1113.0
4002.0,3996.0,3994.0,4095.0,1303.0,1113.0
4002.0,3996.0,3892.0,4095.0,1301.0,1153.0
4002.0,3996.0,3892.0,4095.0,1301.0,1153.0
3999.0,4007.0,3892.0,4095.0,1301.0,1153.0
3999.0,4007.0,3197.0,4095.0,1299.0,1232.0
4010.0,3984.0,3197.0,4095.0,1299.0,1232.0
4010.0,3984.0,2582.0,4095.0,1303.0,1458.0
4022.0,3991.0,2582.0,4095.0,1303.0,1458.0
4022.0,3991.0,2170.0,4095.0,1303.0,1458.0
4022.0,3991.0,2170.0,4095.0,1323.0,1458.0
4022.0,3991.0,2170.0,4095.0,1323.0,1639.0
4034.0,4003.0,2092.0,4095.0,1323.0,1639.0
4034.0,4003.0,2092.0,4095.0,1315.0,1767.0
3312.0,3034.0,1653.0,4095.0,1313.0,1712.0
2864.0,2775.0,1653.0,4095.0,1313.0,1712.0
2864.0,2775.0,1473.0,4095.0,1309.0,1591.0
2864.0,2775.0,1473.0,4095.0,1309.0,1591.0
2864.0,2775.0,1473.0,4095.0,1309.0,1591.0
2790.0,4030.0,1347.0,4095.0,1315.0,1510.0
2474.0,3547.0,1527.0,4095.0,1315.0,1510.0
2474.0,3547.0,1527.0,4095.0,1275.0,1289.0
2322.0,3103.0,1315.0,4095.0,1290.0,1200.0
2334.0,3103.0,1315.0,4095.0,1290.0,1200.0
2334.0,2668.0,1193.0,4095.0,1296.0,1192.0
2334.0,2668.0,1193.0,4095.0,1296.0,1192.0
2334.0,2668.0,1193.0,4095.0,1296.0,1192.0
2206.0,2467.0,1008.0,4095.0,1303.0,1066.0
2290.0,2663.0,763.0,4095.0,1310.0,1066.0
2290.0,2663.0,763.0,4095.0,1310.0,1006.0
3022.0,3239.0,746.0,4095.0,1311.0,914.0
3022.0,3239.0,746.0,4095.0,1311.0,914.0
3022.0,3239.0,746.0,4095.0,1311.0,914.0
3022.0,3239.0,746.0,4095.0,1311.0,914.0
3530.0,3239.0,746.0,4095.0,1311.0,914.0
3993.0,3962.0,658.0,4095.0,1311.0,829.0
4009.0,3994.0,1676.0,4095.0,1310.0,717.0
4009.0,3994.0,1676.0,4095.0,1310.0,717.0
4009.0,3994.0,1676.0,4095.0,1310.0,717.0
4003.0,3994.0,1676.0,4095.0,1310.0,717.0
4003.0,3995.0,2899.0,4095.0,1303.0,717.0
4003.0,3995.0,2899.0,4095.0,1303.0,594.0
4019.0,3996.0,4038.0,4095.0,1311.0,574.0
4016.0,3996.0,4038.0,4095.0,1311.0,574.0
4016.0,4028.0,4027.0,4095.0,1312.0,500.0
4016.0,4028.0,4027.0,4095.0,1312.0,500.0
4068.0,4028.0,4027.0,4095.0,1312.0,500.0
4068.0,3997.0,4038.0,4095.0,1316.0,462.0
4012.0,3997.0,4038.0,4095.0,1316.0,462.0
4012.0,4015.0,4003.0,4095.0,1306.0,423.0
4048.0,4015.0,4003.0,4095.0,1306.0,423.0
4048.0,4005.0,4032.0,4095.0,1280.0,456.0
4048.0,4005.0,4032.0,4095.0,1280.0,456.0
4048.0,4005.0,4032.0,4095.0,1280.0,456.0
4011.0,4002.0,4020.0,4095.0,1296.0,456.0
4011.0,4002.0,4020.0,4095.0,1296.0,534.0
4016.0,4002.0,4020.0,4095.0,1296.0,534.0
4016.0,4014.0,4042.0,4095.0,1290.0,543.0
4006.0,4014.0,4042.0,4095.0,1290.0,543.0
4006.0,4014.0,4042.0,4095.0,1290.0,543.0
4006.0,3987.0,4042.0,4095.0,1290.0,543.0
4006.0,3987.0,4026.0,4095.0,1325.0,1624.0
4019.0,3987.0,4026.0,4095.0,1325.0,1624.0
4019.0,4035.0,4018.0,4095.0,1371.0,3597.0
3989.0,4035.0,4018.0,4095.0,1371.0,3597.0
3989.0,3979.0,4014.0,4095.0,1357.0,3597.0
3989.0,3979.0,4014.0,4095.0,1357.0,4011.0
3989.0,3979.0,4014.0,4095.0,1357.0,4011.0
3999.0,3979.0,4014.0,4095.0,1357.0,4011.0
3999.0,3990.0,4018.0,4095.0,1329.0,3081.0
4031.0,3990.0,4018.0,4095.0,1329.0,3081.0
4031.0,4007.0,4015.0,4095.0,1314.0,2576.0
4002.0,4007.0,4015.0,4095.0,1314.0,2576.0
4002.0,4007.0,4015.0,4095.0,1314.0,2576.0
4002.0,3988.0,4004.0,4095.0,1314.0,2576.0
4002.0,3988.0,4004.0,4095.0,1310.0,2359.0
4016.0,3988.0,4004.0,4095.0,1310.0,2359.0
4016.0,4075.0,4015.0,4095.0,1296.0,2005.0
4030.0,4075.0,4015.0,4095.0,1296.0,2005.0
4030.0,4025.0,4023.0,4095.0,1280.0,1769.0
4030.0,4025.0,4023.0,4095.0,1280.0,1769.0
3990.0,4025.0,4023.0,4095.0,1280.0,1769.0
3990.0,4011.0,4010.0,4095.0,1279.0,1743.0
3999.0,4011.0,4010.0,4095.0,1279.0,1743.0
3999.0,3997.0,4014.0,4095.0,1281.0,1669.0
4038.0,3997.0,4014.0,4095.0,1281.0,1669.0
4038.0,3997.0,4023.0,4095.0,1283.0,1611.0
4038.0,3997.0,4023.0,4095.0,1283.0,1611.0
